id_nutrition_log,log_date,meal_type,water_intake_ml,id_user,id_food,food_item,category,calories_kcal,protein_g,carbohydrates_g,fat_g
1,2026-02-23,Breakfast,250,,1,Scrambled Eggs (2 large),Protein/Dairy,180.0,12.0,2.0,14.0
2,2026-02-23,Breakfast,0,,2,Whole Wheat Toast (1 slice),Grain,80.0,4.0,14.0,1.0
3,2026-02-23,Breakfast,0,,3,Coffee (black),Beverage,5.0,0.3,0.0,0.1
4,2026-02-23,Breakfast,0,,4,Banana,Fruit,105.0,1.3,27.0,0.4
5,2026-02-23,Lunch,500,,5,Grilled Chicken Salad,Meal/Protein,350.0,30.0,10.0,20.0
6,2026-02-23,Snack,0,,6,Apple,Fruit,95.0,0.5,25.0,0.3
7,2026-02-23,Dinner,250,,7,Salmon (4oz grilled),Protein/Fish,230.0,25.0,0.0,14.0
8,2026-02-23,Dinner,0,,8,Quinoa (1 cup cooked),Grain,222.0,8.0,39.0,3.6
9,2026-02-23,Dinner,0,,9,Steamed Broccoli (1 cup),Vegetable,55.0,3.7,11.2,0.6
10,2026-02-23,Snack,250,,10,Greek Yogurt (plain 1 cup),Dairy,150.0,25.0,8.0,3.0
11,2026-02-23,Breakfast,250,,11,Oatmeal (1 cup cooked),Grain,160.0,6.0,28.0,3.0
12,2026-02-23,Breakfast,0,,12,Blueberries (1/2 cup),Fruit,42.0,0.5,11.0,0.2
13,2026-02-23,Snack,0,,13,Almonds (1 oz),Nut,164.0,6.0,6.0,14.0
14,2026-02-23,Lunch,500,,14,Turkey Sandwich (on wheat),Meal/Processed,340.0,22.0,34.0,12.0
15,2026-02-23,Snack,0,,15,Carrot Sticks (1 cup),Vegetable,52.0,1.2,12.3,0.3
16,2026-02-23,Dinner,250,,16,Spaghetti Bolognese,Meal/Pasta,460.0,20.0,55.0,18.0
17,2026-02-23,Dinner,0,,17,Side Salad (light dressing),Vegetable,70.0,2.0,8.0,4.0
18,2026-02-23,Snack,500,,18,Protein Shake (Whey),Supplement,120.0,24.0,3.0,1.0
19,2026-02-23,Breakfast,0,,19,Cereal (Frosted Flakes 1 cup),Grain/Processed,130.0,2.0,31.0,0.0
20,2026-02-23,Lunch,250,,20,Lentil Soup (1 can),Meal/Legume,230.0,15.0,35.0,3.0
21,2026-02-23,Dinner,0,,21,White Rice (1 cup cooked),Grain,204.0,4.2,44.5,0.4
22,2026-02-23,Dinner,250,,22,Tofu Stir-fry,Meal/Vegetarian,400.0,18.0,30.0,22.0
23,2026-02-23,Snack,0,,23,Orange,Fruit,62.0,1.2,15.4,0.2
24,2026-02-23,Breakfast,250,,24,Bagel (plain),Grain,270.0,11.0,55.0,1.5
25,2026-02-23,Breakfast,0,,25,Cream Cheese (2 tbsp),Dairy,100.0,2.0,2.0,10.0
26,2026-02-23,Lunch,500,,26,Tuna Salad (1/2 cup),Meal/Fish,190.0,19.0,2.0,12.0
27,2026-02-23,Lunch,0,,27,Crackers (5 whole wheat),Grain/Processed,90.0,2.0,14.0,3.0
28,2026-02-23,Dinner,250,,28,Beef Steak (6oz sirloin),Protein/Meat,270.0,42.0,0.0,10.0
29,2026-02-23,Dinner,0,,29,Baked Potato (medium),Vegetable,160.0,4.3,36.0,0.2
30,2026-02-23,Snack,0,,30,Ice Cream (1/2 cup vanilla),Dairy/Dessert,145.0,2.5,17.0,7.5
31,2026-02-23,Dinner,250,,31,Pizza (1 slice pepperoni),Meal/Processed,290.0,12.0,34.0,12.0
32,2026-02-23,Breakfast,500,,32,Avocado Toast (1 slice),Meal/Vegetarian,260.0,7.0,28.0,15.0
33,2026-02-23,Snack,0,,33,Hard-Boiled Egg (1 large),Protein,78.0,6.3,0.6,5.3
34,2026-02-23,Lunch,250,,34,Chicken Wrap (with tortilla),Meal/Processed,410.0,25.0,38.0,17.0
35,2026-02-23,Snack,0,,35,Grapes (1 cup),Fruit,104.0,1.1,27.0,0.2
36,2026-02-23,Snack,0,,36,Cottage Cheese (1/2 cup),Dairy,90.0,12.0,5.0,3.0
37,2026-02-23,Dinner,500,,37,Burger (cheeseburger),Meal/Processed,550.0,30.0,40.0,30.0
38,2026-02-23,Dinner,0,,38,French Fries (medium),Vegetable/Processed,340.0,4.0,44.0,17.0
39,2026-02-23,Snack,500,,39,Protein Bar,Supplement/Processed,210.0,20.0,22.0,7.0
40,2026-02-23,Lunch,0,,40,Black Beans (1/2 cup),Legume,114.0,7.6,20.4,0.5
41,2026-02-23,Lunch,0,,41,Salsa (1/4 cup),Vegetable,20.0,0.8,4.5,0.1
42,2026-02-23,Lunch,250,,42,Chicken Noodle Soup (1 can),Meal/Processed,150.0,7.0,18.0,5.0
43,2026-02-23,Snack,0,,43,Peanut Butter (2 tbsp),Nut,190.0,7.0,8.0,16.0
44,2026-02-23,Snack,0,,44,Celery Sticks (1 cup),Vegetable,14.0,0.6,3.0,0.2
45,2026-02-23,Dinner,250,,45,Cod (4oz baked),Protein/Fish,95.0,20.0,0.0,0.8
